epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,28135.5,0.56799,0.34296,0.8812,0.34221,0.34954,0.23779,0.09683,2.43511,inf,1.63811,0.00208,0.00208,0.00208
98,28427.5,0.56369,0.33975,0.87966,0.32711,0.33098,0.21938,0.08874,2.45925,inf,1.65579,0.0019975,0.0019975,0.0019975
99,28719.9,0.56035,0.33689,0.87895,0.29363,0.28059,0.17622,0.06949,2.53797,inf,1.70394,0.001915,0.001915,0.001915
100,29014.4,0.55635,0.33384,0.87769,0.28284,0.26329,0.16308,0.06375,2.5626,inf,1.71851,0.0018325,0.0018325,0.0018325
101,29307.6,0.55219,0.33056,0.87658,0.24779,0.20433,0.1241,0.0472,2.65529,inf,1.76888,0.00175,0.00175,0.00175
102,29599.9,0.54779,0.32721,0.87513,0.22133,0.15794,0.0972,0.03662,2.72746,inf,1.81037,0.0016675,0.0016675,0.0016675
103,29891.8,0.54391,0.32488,0.87425,0.20306,0.12689,0.07841,0.02949,2.78149,inf,1.84409,0.001585,0.001585,0.001585
104,30184.2,0.53853,0.32083,0.87258,0.1962,0.10162,0.06206,0.02321,2.84643,inf,1.88358,0.0015025,0.0015025,0.0015025
105,30475.6,0.53511,0.31758,0.87164,0.19872,0.08653,0.05317,0.01988,2.88721,inf,1.90843,0.00142,0.00142,0.00142
106,30766.4,0.53014,0.31426,0.8701,0.19939,0.06612,0.04041,0.01515,2.95679,inf,1.94647,0.0013375,0.0013375,0.0013375
107,31057.9,0.52521,0.31094,0.86903,0.19838,0.05291,0.03194,0.01212,3.01202,inf,1.97359,0.001255,0.001255,0.001255
108,31349.7,0.52011,0.30675,0.86754,0.19104,0.0434,0.02475,0.00951,3.05566,inf,1.99442,0.0011725,0.0011725,0.0011725
109,31643.2,0.51484,0.30353,0.86613,0.17687,0.03848,0.02141,0.00828,3.07391,inf,2.00459,0.00109,0.00109,0.00109
110,31935.3,0.50972,0.29946,0.86477,0.10237,0.03102,0.01546,0.00603,3.1293,inf,2.02461,0.0010075,0.0010075,0.0010075
111,32232.1,0.50448,0.29562,0.86321,0.04255,0.03875,0.01402,0.00548,3.13647,inf,2.02853,0.000925,0.000925,0.000925
112,32524,0.49839,0.29131,0.8617,0.0153,0.08239,0.01215,0.00473,3.1533,inf,2.03716,0.0008425,0.0008425,0.0008425
113,32817.6,0.49302,0.28693,0.86024,0.00903,0.3221,0.01197,0.0047,3.15395,inf,2.04084,0.00076,0.00076,0.00076
